---------------------------------|---------|----------|---------|---------|-------------------
File                             | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s
---------------------------------|---------|----------|---------|---------|-------------------
All files                        |     100 |      100 |     100 |     100 |
 modules/auth                    |     100 |      100 |     100 |     100 |
  constants.ts                   |     100 |      100 |     100 |     100 |
  types.ts                       |     100 |      100 |     100 |     100 |
 modules/auth/guards             |     100 |      100 |     100 |     100 |
  access-jwt.guard.ts            |     100 |      100 |     100 |     100 |
  base-jwt.guard.ts              |     100 |      100 |     100 |     100 |
  refresh-jwt.guard.ts           |     100 |      100 |     100 |     100 |
 modules/auth/resolvers          |     100 |      100 |     100 |     100 |
  auth.resolver.ts               |     100 |      100 |     100 |     100 |
 modules/auth/services           |     100 |      100 |     100 |     100 |
  auth-cookie.service.ts         |     100 |      100 |     100 |     100 |
  auth-token.service.ts          |     100 |      100 |     100 |     100 |
  auth.service.ts                |     100 |      100 |     100 |     100 |
  password-hasher.service.ts     |     100 |      100 |     100 |     100 |
 modules/cities/resolvers        |     100 |      100 |     100 |     100 |
  cities.resolver.ts             |     100 |      100 |     100 |     100 |
 modules/cities/services         |     100 |      100 |     100 |     100 |
  cities-query.service.ts        |     100 |      100 |     100 |     100 |
  cities.service.ts              |     100 |      100 |     100 |     100 |
 modules/logger                  |     100 |      100 |     100 |     100 |
  constants.ts                   |     100 |      100 |     100 |     100 |
  types.ts                       |     100 |      100 |     100 |     100 |
 modules/logger/resolvers        |     100 |      100 |     100 |     100 |
  client-logs.resolver.ts        |     100 |      100 |     100 |     100 |
 modules/logger/sanitize         |     100 |      100 |     100 |     100 |
  is-non-serializable-object.ts  |     100 |      100 |     100 |     100 |
  sanitize-for-logging.ts        |     100 |      100 |     100 |     100 |
 modules/logger/services         |     100 |      100 |     100 |     100 |
  app-logger.service.ts          |     100 |      100 |     100 |     100 |
  client-logger.service.ts       |     100 |      100 |     100 |     100 |
  logger-context.service.ts      |     100 |      100 |     100 |     100 |
 modules/users/services          |     100 |      100 |     100 |     100 |
  user.service.ts                |     100 |      100 |     100 |     100 |
 modules/weather/constants       |     100 |      100 |     100 |     100 |
  open-weather.constants.ts      |     100 |      100 |     100 |     100 |
 modules/weather/resolvers       |     100 |      100 |     100 |     100 |
  weather.resolver.ts            |     100 |      100 |     100 |     100 |
 modules/weather/services        |     100 |      100 |     100 |     100 |
  open-weather-api.service.ts    |     100 |      100 |     100 |     100 |
  weather.service.ts             |     100 |      100 |     100 |     100 |
 modules/weather/utils           |     100 |      100 |     100 |     100 |
  calculate-average-by.util.ts   |     100 |      100 |     100 |     100 |
  format-unix-time.util.ts       |     100 |      100 |     100 |     100 |
  get-rounded-min-max.util.ts    |     100 |      100 |     100 |     100 |
  get-temperature-range.util.ts  |     100 |      100 |     100 |     100 |
  group-forecast-by-date.util.ts |     100 |      100 |     100 |     100 |
  weather-mappers.ts             |     100 |      100 |     100 |     100 |
 shared                          |     100 |      100 |     100 |     100 |
  constants.ts                   |     100 |      100 |     100 |     100 |
 shared/utils                    |     100 |      100 |     100 |     100 |
  build-connection.ts            |     100 |      100 |     100 |     100 |
  calculate-average.util.ts      |     100 |      100 |     100 |     100 |
  create-validation-pipe.util.ts |     100 |      100 |     100 |     100 |
  decode-cursor.ts               |     100 |      100 |     100 |     100 |
  encode-cursor.ts               |     100 |      100 |     100 |     100 |
  get-min-max.util.ts            |     100 |      100 |     100 |     100 |
  is-primitive-value.ts          |     100 |      100 |     100 |     100 |
  parse-ms.ts                    |     100 |      100 |     100 |     100 |
---------------------------------|---------|----------|---------|---------|-------------------

Test Suites: 35 passed, 35 total
Tests:       210 passed, 210 total
Snapshots:   0 total
Time:        74.748 s, estimated 318 s
Ran all test suites.
